table,domain,index,columns,kind,size_bytes,scans,flags
clinical_alerts,Other,clinical_alerts_pkey,id,PK,16384,43,none
clinical_alerts,Other,idx_clinical_alerts_created_by,created_by,INDEX,8192,2,none
clinical_alerts,Other,idx_clinical_alerts_hospital_unack,hospital_id is_acknowledged created_at,INDEX,16384,12843,none
clinical_alerts,Other,idx_clinical_alerts_indicator,hospital_id indicator_code created_at,INDEX,8192,0,ZERO scans since stats reset
clinical_alerts,Other,idx_clinical_alerts_patient,patient_id,INDEX,8192,1704,none
clinical_audit_samples,Quality/NABH,clinical_audit_samples_pkey,id,PK,8192,0,none
clinical_audit_samples,Quality/NABH,idx_audit_samples_audit,audit_id,INDEX,8192,1,none
clinical_audits,Quality/NABH,clinical_audits_pkey,id,PK,16384,1,none
clinical_audits,Quality/NABH,idx_clinical_audits_hospital,hospital_id created_at,INDEX,16384,2,none
clinical_audits,Quality/NABH,idx_clinical_audits_status,hospital_id status,INDEX,16384,107,none
clinical_guidelines,Other,clinical_guidelines_pkey,id,PK,16384,0,none
clinical_guidelines,Other,idx_guidelines_condition,condition_name,INDEX,16384,0,ZERO scans since stats reset
clinical_guidelines,Other,idx_guidelines_icd,icd10_codes,INDEX,24576,0,ZERO scans since stats reset
clinical_note_templates,Other,clinical_note_templates_pkey,id,PK,16384,0,none
clinical_note_templates,Other,idx_cnt_owner,created_by note_type,INDEX,16384,1,none
clinical_note_templates,Other,idx_cnt_shared,hospital_id note_type is_shared,INDEX,16384,116,none
clinical_protocols,Other,clinical_protocols_pkey,id,PK,8192,0,none
clinical_reference_sources,Other,clinical_reference_sources_pkey,id,PK,16384,0,none
clinical_reference_sources,Other,clinical_reference_sources_source_key_key,source_key,UNIQUE,16384,11,none
clinical_reference_sources,Other,idx_clinical_ref_sources_active_org,NULL,INDEX,16384,0,ZERO scans since stats reset
clinical_reference_sources,Other,idx_clinical_ref_sources_aliases,aliases,INDEX,24576,0,ZERO scans since stats reset
